,id,VIVTOT,POBTOT,POB_WO_ELEC,POB_W_ELEC
1916,5726,0.7986085638358045,3.442278292395709,0.11869925146192101,3.323579040933788
1917,5727,1.044841865453359,4.50362873040241,0.1552975424276693,4.348331187974741
1918,5728,1.0448418653540645,4.503628729974416,0.1552975424129109,4.348331187561505
1919,5730,0.6629974833683602,2.320491191789261,0.3569986448906555,1.9634925468986055
1920,5731,0.568032258853988,1.929858223693021,0.3241614690784353,1.6056967546145857
1921,5732,0.32087023813474047,1.0125914197744428,0.2067685895491882,0.8058228302252546
1922,5733,0.4317917526211203,1.3840998281745946,0.20064055056758517,1.1834592776070094
1923,5734,0.46764432143817497,1.4697392959485498,0.20996275656407856,1.2597765393844713
1924,5735,0.693047707812986,2.178149938840813,0.311164276977259,1.8669856618635539
1925,5736,0.3351735593311992,1.0932678698621945,0.3714535003009555,0.721814369561239
1926,5737,0.3687355990219958,1.2168274767725862,0.4867309907090344,0.7300964860635517
1927,5738,0.3687355989035956,1.2168274763818654,0.4867309905527461,0.7300964858291192
1928,5739,0.30897356751618377,1.0799305571225488,0.3728371401831936,0.7070934169393552
1929,5740,0.8311610833700994,4.138693619638768,0.28698524734821296,3.8517083722905547
1930,5741,0.9908541925875798,4.954270962937899,0.33028473086252663,4.623986232075373
1931,5742,0.5160307903349107,2.2253277535254403,0.07191738630764219,2.153410367217798
1932,5743,0.33601286351968174,0.502657646109392,0.220130210471572,0.28252743563782
1933,5744,0.40505198244266527,0.5786456892038074,0.27305789482260573,0.3055877943812017
1934,5745,0.4007135619324836,0.5724479456178337,0.27013323324158733,0.3023147123762464
1935,5746,0.4302956513387888,1.5329725057436834,0.060536285449551225,1.4724362202941321
1936,5747,0.7662215090205533,3.064886036082213,0.2357604643140164,2.8291255717681967
1937,5748,0.7662215089618482,3.0648860358473926,0.2357604642959533,2.8291255715514394
1938,5749,0.7662215086822315,3.064886034728926,0.2357604642099174,2.8291255705190084
1939,5750,0.6478961481256805,2.591584592502722,0.19935266096174786,2.3922319315409744
1940,5751,0.23881244680643046,0.7076081932078429,0.2806445280364801,0.42696366517136275
1941,5752,0.34239070784797043,1.01425447275805,0.40534601492338174,0.6089084578346683
1942,5753,0.38156453372240484,1.1282903643931128,0.4748106231939753,0.6534797411991375
1943,5754,0.4206297847146086,1.2420004256545847,0.5441950161622287,0.697805409492356
1944,5755,0.45914935645439037,1.3540733434414811,0.61317136544023,0.7409019780012511
1945,5756,0.4943672045972756,1.4564426734840437,0.6773532169874616,0.779089456496582
1946,5757,0.2471795157032078,0.738116704819092,0.32168153714580466,0.4164351676732873
1947,5758,0.05998440975077138,0.2302942524600715,0.05345915256438386,0.17683509989568766
1948,5759,0.07329496696121147,0.28754179346321423,0.06635579849151096,0.22118599497170327
1949,5760,0.07332421190234664,0.28765652361689836,0.0663822746808227,0.22127424893607567
1950,5761,0.07332421188786398,0.28765652356008176,0.06638227466771117,0.22127424889237057
1951,5762,0.07332421186381305,0.2876565234657281,0.06638227464593725,0.22127424881979085
1952,5763,0.0729373004620714,0.2861386402742801,0.06603199390944925,0.22010664636483085
1953,5764,0.19917525559057625,0.7212200849363148,0.19259578640510228,0.5286242985312126
1954,5765,3.657578607004103,12.807791915797669,3.6258198631885,9.181972052609169
1955,5766,6.19043034095794,21.666506193352788,6.138843421449957,15.52766277190283
1956,5767,0.26829886854401014,0.9327843681852651,0.25698362064725977,0.6758007475380053
1957,5768,0.14824700650520556,0.48427355458367155,0.09685471091673431,0.38741884366693724
1958,5769,0.1500444850411277,0.4901453178010171,0.09802906356020342,0.3921162542408137
1959,5770,0.15004448500853318,0.4901453176945417,0.09802906353890835,0.3921162541556334
1960,5771,0.1500444849674589,0.4901453175603657,0.09802906351207316,0.39211625404829253
1961,5772,0.1500444849202274,0.4901453174060762,0.09802906348121525,0.39211625392486094
1962,5773,0.15004448486443347,0.49014531722381605,0.09802906344476321,0.39211625377905285
1963,5774,0.15004448483209684,0.490145317118183,0.09802906342363661,0.3921162536945464
1964,5775,0.150044484754177,0.4901453168636449,0.09802906337272899,0.3921162534909159
1965,5776,0.1500444847229367,0.4901453167615932,0.09802906335231865,0.39211625340927453
1966,5826,1.0231844614633716,4.410277851135222,0.15207854659086975,4.258199304544352
1967,5827,1.0448386387307402,4.50361482211526,0.1552970628315607,4.3483177592837
1968,5828,1.0448386387081607,4.503614822017934,0.15529706282820463,4.3483177591897295
1969,5830,0.7905118149873718,2.766791352455801,0.4256602080701233,2.3411311443856775
1970,5831,0.7905118150332935,2.766791352616527,0.42566020809485033,2.3411311445216767
1971,5832,0.3992107299451985,1.397237554808195,0.21495962381664538,1.1822779309915497
1972,5833,0.7847859699216496,2.7467508947257735,0.4225770607270421,2.3241738339987315
1973,5834,0.6143390519714522,2.1501866819000828,0.3307979510615512,1.8193887308385315
1974,5835,0.3313248645340885,1.1596370258693096,0.1784056962875861,0.9812313295817235
1975,5836,0.05721684264286608,0.18874510966605407,0.07513562129577243,0.11360948837028163
1976,5837,0.1928275358509156,0.6383131665084956,0.25365656031581224,0.3846566061926833
1977,5838,0.20329374206081227,0.6719616106280772,0.2678651740228712,0.40409643660520606
1978,5839,0.670815434636104,3.3313669711035727,0.23678596804492955,3.0945810030586434
1979,5840,1.0764402681247744,5.3822013406238725,0.35881342270825817,5.023387917915614
1980,5841,1.0764402680256737,5.382201340128369,0.3588134226752246,5.023387917453145
1981,5842,1.07644026788777,5.38220133943885,0.35881342262925664,5.023387916809593
1982,5843,0.8399420668896612,4.182776820760946,0.27520391623940954,3.9075729045215364
1983,5844,0.3693418415001294,1.2566333824523526,0.04334046732228419,1.2132929151300684
1984,5845,0.2551603390985588,0.45721829409178116,0.13661530890505869,0.3206029851867225
1985,5846,0.7074705287309617,2.829882114923847,0.21768323960952668,2.6121988753143204
1986,5847,0.7662191425776291,3.0648765703105165,0.23575973617773205,2.8291168341327846
1987,5848,0.7639135824273303,3.0556543297093213,0.2350503330545632,2.820603996654758
1988,5849,0.7662191425110558,3.0648765700442233,0.23575973615724793,2.8291168338869754
1989,5850,0.6079054057944364,2.384887372636588,0.238117145247562,2.146770227389026
1990,5851,0.778484445274824,2.2867980579947953,1.1433990289973976,1.1433990289973976
1991,5852,0.7894972343772725,2.319148125983238,1.159574062991619,1.159574062991619
